"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"04.Dec.1990,""2,579.70"",""364.11"",""2,146.40"",""21,862.61"",""1,646.53"",""1,446.34"",""708.90"","""",""470.71"","""","""",""581.98"",""4,716.66"",""0.35"",""89.72"",""0.00"","""","""",""24.46"""
"05.Dec.1990,""2,610.40"",""370.87"",""2,152.60"",""22,193.72"",""1,660.44"",""1,470.96"",""718.84"","""",""480.03"","""","""","""",""4,987.12"",""0.36"",""85.93"",""0.00"","""","""",""24.80"""
"06.Dec.1990,""2,602.48"",""372.29"",""2,177.50"",""22,553.10"",""1,693.52"",""1,504.67"",""717.82"","""",""490.58"","""","""",""607.15"",""4,741.86"",""0.36"",""84.88"",""0.00"","""","""",""24.92"""
"07.Dec.1990,""2,590.10"",""371.54"",""2,183.30"",""23,522.49"",""1,690.71"",""1,512.84"",""730.96"","""","""","""","""",""632.37"",""4,949.81"",""0.40"",""87.12"",""0.00"","""","""",""25.50"""
"10.Dec.1990,""2,596.78"",""371.47"",""2,182.50"",""23,784.67"",""1,675.01"",""1,504.80"",""735.33"","""",""504.26"","""","""","""",""4,522.31"",""0.40"",""84.34"",""0.00"","""","""",""25.63"""
"11.Dec.1990,""2,586.14"",""367.99"",""2,166.10"",""23,956.97"",""1,665.54"",""1,492.68"",""725.56"","""",""500.52"","""","""",""661.88"",""4,593.72"",""0.38"",""81.91"",""0.00"","""","""",""26.02"""
"12.Dec.1990,""2,622.28"",""370.42"",""2,156.90"",""23,999.41"",""1,667.85"",""1,517.24"",""724.51"","""",""499.02"","""","""",""640.28"",""4,335.26"",""0.39"",""85.45"",""0.00"","""","""",""26.57"""
"13.Dec.1990,""2,614.36"",""371.50"",""2,172.20"",""24,642.97"",""1,659.40"",""1,517.80"",""712.82"","""",""505.43"","""","""",""644.10"",""4,372.38"",""0.38"",""84.82"",""0.00"","""","""",""26.85"""
"14.Dec.1990,""2,593.81"",""368.83"",""2,168.40"",""24,349.50"",""1,635.52"",""1,522.40"",""710.06"","""",""508.11"","""","""",""649.58"",""4,304.31"",""0.39"",""81.34"",""0.00"","""","""",""26.54"""
"17.Dec.1990,""2,593.32"",""365.72"",""2,157.80"",""24,087.91"",""1,606.23"",""1,475.87"",""706.04"","""",""500.31"","""","""",""621.98"",""4,102.74"",""0.34"",""77.67"",""0.00"","""","""",""26.85"""
"18.Dec.1990,""2,626.73"",""370.17"",""2,161.80"",""24,424.02"",""1,591.65"",""1,477.41"",""706.08"","""",""498.08"","""","""",""619.04"",""3,919.73"",""0.34"",""79.75"",""0.00"","""","""",""26.54"""
"19.Dec.1990,""2,626.73"",""371.22"",""2,178.70"",""24,876.78"",""1,589.32"",""1,457.24"",""697.54"","""",""497.24"","""","""",""623.58"",""3,827.09"",""0.35"",""82.64"",""0.00"","""","""",""26.46"""
"20.Dec.1990,""2,629.46"",""372.30"",""2,158.80"",""24,524.94"",""1,552.72"",""1,409.26"",""698.04"","""",""497.60"","""","""",""616.68"",""3,928.90"",""0.33"",""80.66"",""0.00"","""","""",""26.37"""
"21.Dec.1990,""2,633.66"",""373.60"",""2,164.50"",""24,119.60"",""1,563.97"",""1,414.88"",""708.24"","""",""494.14"","""","""",""611.63"",""3,979.46"",""0.33"",""84.36"",""0.00"","""","""",""25.76"""
"24.Dec.1990,""2,621.29"",""372.41"",""2,156.50"","""","""","""",""693.76"","""",""500.61"","""","""",""587.85"",""4,093.61"",""0.30"",""90.90"",""0.00"","""","""",""25.98"""
"25.Dec.1990,"""","""","""",""23,767.88"","""","""","""","""","""","""","""","""","""",""0.28"","""","""","""","""","""""
"26.Dec.1990,""2,637.13"",""372.40"","""",""23,887.56"","""","""",""696.11"","""",""501.92"","""","""",""600.88"",""4,279.33"",""0.30"",""91.46"",""0.00"","""","""",""25.86"""
"27.Dec.1990,""2,625.50"",""371.05"",""2,167.80"",""23,940.70"",""1,528.90"",""1,410.87"","""","""",""500.72"","""","""",""603.81"",""4,530.16"",""0.32"",""94.14"",""0.00"","""","""",""25.44"""
"28.Dec.1990,""2,629.21"",""371.20"",""2,160.40"",""23,848.71"",""1,517.93"",""1,398.23"","""","""",""500.88"","""","""",""612.86"","""",""0.33"",""92.50"",""0.00"","""","""",""25.76"""
"31.Dec.1990,""2,633.66"",""373.84"",""2,143.40"","""",""1,505.10"",""1,398.23"","""","""",""505.92"","""","""","""","""","""","""",""0.00"","""","""","""""
"01.Jan.1991,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"02.Jan.1991,""2,610.64"",""372.19"",""2,128.30"","""",""1,505.10"",""1,366.10"","""","""",""501.23"","""","""",""594.95"","""",""0.31"",""91.90"",""0.00"","""","""",""25.64"""
"03.Jan.1991,""2,573.51"",""367.51"",""2,117.80"","""",""1,539.50"",""1,366.65"",""679.75"","""",""497.99"","""","""",""586.92"",""4,258.93"",""0.32"",""89.62"",""0.00"","""","""",""25.11"""
"04.Jan.1991,""2,566.09"",""367.24"",""2,126.10"",""24,069.18"",""1,547.66"",""1,396.07"",""697.62"","""",""497.66"","""","""",""609.88"",""4,367.99"",""0.35"",""89.92"",""0.00"","""","""",""24.99"""
"07.Jan.1991,""2,522.77"",""360.24"",""2,113.40"",""23,736.57"",""1,507.87"",""1,358.16"",""676.65"","""",""495.63"","""","""",""595.36"",""4,191.07"",""0.33"",""84.37"",""0.00"","""","""",""25.12"""
"08.Jan.1991,""2,509.41"",""359.00"",""2,099.90"",""22,897.84"",""1,502.77"",""1,353.95"",""659.68"","""",""485.64"","""","""",""590.37"",""3,975.53"",""0.33"",""85.62"",""0.00"","""","""",""24.70"""
"09.Jan.1991,""2,470.30"",""357.45"",""2,128.90"",""22,969.27"",""1,552.19"",""1,375.16"",""660.39"","""",""485.42"","""","""",""595.82"",""4,052.78"",""0.34"",""86.56"",""0.00"","""","""",""24.62"""
"10.Jan.1991,""2,498.76"",""361.92"",""2,108.70"",""23,047.36"",""1,507.09"",""1,383.40"",""635.46"","""",""481.78"","""","""",""591.04"",""3,802.21"",""0.30"",""88.06"",""0.00"","""","""",""24.62"""
"11.Jan.1991,""2,501.49"",""361.80"",""2,105.80"",""23,241.02"",""1,494.94"",""1,382.26"",""627.70"","""",""482.11"","""","""",""596.57"",""3,655.91"",""0.33"",""90.67"",""0.00"","""","""",""24.77"""
"14.Jan.1991,""2,483.91"",""355.75"",""2,080.80"",""23,213.23"",""1,441.17"",""1,331.25"",""652.25"","""",""481.44"","""","""",""599.25"",""3,591.31"",""0.34"",""95.27"",""0.00"","""","""",""24.62"""
"15.Jan.1991,""2,490.59"",""357.30"",""2,071.10"","""",""1,457.27"",""1,325.62"",""624.62"","""",""473.76"","""","""",""583.80"",""3,352.33"",""0.34"",""89.96"",""0.00"","""","""",""24.90"""
"16.Jan.1991,""2,508.91"",""365.20"",""2,054.90"",""22,442.70"",""1,457.77"",""1,322.68"",""613.34"","""",""470.40"","""","""",""582.48"",""3,316.26"",""0.34"",""91.72"",""0.00"","""","""",""25.19"""
"17.Jan.1991,""2,623.51"",""375.81"",""2,104.60"",""23,446.81"",""1,560.47"",""1,414.58"",""641.42"","""",""487.34"","""","""",""633.89"",""3,538.32"",""0.36"",""91.37"",""0.00"","""","""",""25.47"""
"18.Jan.1991,""2,646.78"",""376.99"",""2,102.70"",""23,808.30"",""1,560.27"",""1,405.06"",""667.35"","""",""487.34"","""","""",""658.48"",""3,776.08"",""0.40"",""87.34"",""0.00"","""","""","""""
"21.Jan.1991,""2,629.21"",""379.70"",""2,084.00"",""23,352.19"",""1,553.57"",""1,390.20"",""636.91"","""",""480.29"","""","""",""631.58"",""4,134.10"",""0.40"",""83.85"",""0.00"","""","""",""25.27"""
"22.Jan.1991,""2,603.22"",""379.03"",""2,081.60"",""23,253.65"",""1,548.64"",""1,375.12"",""632.92"","""",""481.87"","""","""",""625.75"",""4,075.94"",""0.37"",""85.78"",""0.00"","""","""",""24.92"""
"23.Jan.1991,""2,619.06"",""383.91"",""2,080.50"",""23,050.10"",""1,522.39"",""1,358.76"",""625.22"","""",""478.76"","""","""",""611.13"",""3,832.25"",""0.36"",""89.06"",""0.00"","""","""",""24.42"""
"24.Jan.1991,""2,643.07"",""391.33"",""2,099.50"",""23,269.01"",""1,553.77"",""1,375.16"",""638.02"","""",""479.44"","""","""",""623.47"",""4,089.84"",""0.37"",""92.37"",""0.00"","""","""",""23.95"""
"25.Jan.1991,""2,659.41"",""394.28"",""2,103.00"",""23,573.25"",""1,563.00"",""1,382.05"",""632.95"","""",""483.44"","""","""",""629.69"",""4,113.83"",""0.38"",""97.61"",""0.00"","""","""",""23.55"""
"28.Jan.1991,""2,654.46"",""396.80"",""2,118.00"",""23,569.44"",""1,565.69"",""1,382.68"",""633.93"","""",""485.24"","""","""",""637.25"",""4,148.15"",""0.40"",""112.05"",""0.00"","""","""",""23.34"""
"29.Jan.1991,""2,662.62"",""400.61"",""2,113.80"",""23,460.12"",""1,554.49"",""1,380.26"",""635.65"","""",""489.72"","""","""",""637.87"",""4,110.55"",""0.40"","""",""0.00"","""","""",""23.14"""
"30.Jan.1991,""2,713.12"",""408.53"",""2,152.60"",""23,409.61"",""1,582.45"",""1,400.73"",""638.09"","""",""490.60"","""","""",""651.70"",""4,058.82"",""0.41"",""145.60"",""0.00"","""","""",""23.31"""
"31.Jan.1991,""2,736.39"",""414.20"",""2,170.10"",""23,293.14"",""1,580.67"",""1,420.18"",""635.40"","""",""497.26"","""","""",""658.47"",""4,023.72"",""0.42"",""157.32"",""0.00"","""","""",""23.82"""
"01.Feb.1991,""2,730.69"",""417.69"",""2,165.80"",""23,156.70"",""1,578.08"",""1,426.51"",""632.53"","""","""","""","""",""675.14"",""4,002.45"",""0.44"",""150.60"","""","""","""",""24.60"""
"04.Feb.1991,""2,772.28"",""424.80"",""2,172.40"",""23,287.36"",""1,581.73"",""1,435.03"",""632.79"","""",""500.88"","""","""",""689.41"",""4,124.32"",""0.46"",""137.67"",""0.10"","""","""",""24.84"""
"05.Feb.1991,""2,788.37"",""432.20"",""2,201.90"",""23,821.57"",""1,599.24"",""1,438.03"",""631.93"","""",""508.98"","""","""",""710.57"",""4,314.27"",""0.50"",""133.90"",""0.10"","""","""",""24.84"""
"06.Feb.1991,""2,830.94"",""439.24"",""2,194.80"",""23,952.04"",""1,598.11"",""1,428.69"",""635.66"","""",""513.41"","""","""",""701.75"",""4,236.88"",""0.49"",""130.73"",""0.10"","""","""",""24.66"""
"07.Feb.1991,""2,810.64"",""435.01"",""2,243.70"",""24,104.43"",""1,598.22"",""1,436.26"",""634.31"","""",""519.50"","""","""",""720.44"",""4,384.19"",""0.47"",""123.69"",""0.10"","""","""",""24.26"""
"08.Feb.1991,""2,830.69"",""436.98"",""2,245.00"",""24,296.08"",""1,622.75"",""1,467.82"",""628.85"","""",""518.93"","""","""",""728.36"",""4,460.04"",""0.48"",""122.70"",""0.10"","""","""",""24.30"""
"11.Feb.1991,""2,902.23"",""444.10"",""2,278.90"","""",""1,637.29"",""1,488.74"",""629.57"","""",""518.32"","""","""",""745.22"",""4,729.65"",""0.49"",""132.43"","""","""","""",""24.13"""
"12.Feb.1991,""2,874.75"",""443.98"",""2,264.50"",""24,935.01"",""1,626.24"",""1,468.94"",""648.11"","""",""526.01"","""","""",""760.93"","""",""0.49"",""128.18"","""","""","""",""24.10"""
"13.Feb.1991,""2,909.16"",""447.97"",""2,267.80"",""25,139.47"",""1,635.84"",""1,489.41"",""644.91"","""",""527.60"","""","""",""753.22"","""",""0.48"",""134.03"",""0.10"","""","""",""24.40"""
"14.Feb.1991,""2,877.23"",""444.31"",""2,294.40"",""25,356.37"",""1,652.68"",""1,486.52"","""","""","""","""","""",""766.24"","""",""0.49"",""148.19"",""0.10"","""","""",""24.68"""
"15.Feb.1991,""2,934.65"",""448.71"",""2,296.90"",""25,343.74"",""1,670.39"",""1,531.19"","""","""","""","""","""",""774.52"","""",""0.49"",""143.41"",""0.10"","""","""",""25.02"""
"18.Feb.1991,"""","""",""2,318.30"",""26,230.01"",""1,694.96"",""1,572.57"",""674.09"","""",""545.96"","""","""",""821.21"","""",""0.52"",""141.34"",""0.10"","""","""",""24.94"""
"19.Feb.1991,""2,932.18"",""450.32"",""2,312.40"",""26,166.98"",""1,700.93"",""1,587.13"",""669.45"","""",""555.34"","""","""",""823.65"",""5,048.48"",""0.53"",""140.23"",""0.10"","""","""",""24.82"""
"20.Feb.1991,""2,899.01"",""446.02"",""2,296.80"",""26,198.79"",""1,693.07"",""1,567.32"",""669.91"","""",""562.26"","""","""",""817.24"",""4,950.68"",""0.53"",""149.35"",""0.10"","""","""",""24.84"""
"21.Feb.1991,""2,891.83"",""446.38"",""2,312.40"",""26,024.37"",""1,709.72"",""1,565.59"",""672.10"","""",""554.42"","""","""",""776.56"",""5,181.98"",""0.53"",""152.88"",""0.10"","""","""",""24.91"""
"22.Feb.1991,""2,889.36"",""448.95"",""2,314.20"",""25,902.81"",""1,716.88"",""1,582.52"",""676.10"","""",""554.68"","""","""",""791.64"",""4,873.67"",""0.54"",""152.44"",""0.10"","""","""",""24.81"""
"25.Feb.1991,""2,887.87"",""451.09"",""2,335.40"",""26,462.76"",""1,745.17"",""1,601.15"",""692.80"","""",""556.62"","""","""",""734.24"",""5,012.46"",""0.53"",""162.94"",""0.10"","""","""",""24.70"""
"26.Feb.1991,""2,864.60"",""447.71"",""2,322.20"",""26,282.96"",""1,712.31"",""1,558.24"",""677.27"","""",""563.47"","""","""",""776.14"",""4,839.46"",""0.54"",""174.75"",""0.10"","""","""",""24.82"""
"27.Feb.1991,""2,889.11"",""450.82"",""2,348.10"",""26,094.25"",""1,731.02"",""1,565.52"",""671.71"","""",""561.13"","""","""",""769.13"",""4,869.82"",""0.53"",""170.67"",""0.10"","""","""",""24.79"""
"28.Feb.1991,""2,882.18"",""453.05"",""2,380.80"",""26,409.22"",""1,759.79"",""1,542.09"",""675.57"","""",""562.40"","""","""","""",""5,033.37"",""0.51"",""181.15"",""0.10"","""","""",""25.11"""
"01.Mar.1991,""2,909.90"",""456.73"",""2,386.90"",""25,881.57"",""1,746.79"",""1,516.74"","""","""",""559.51"","""","""",""790.46"",""4,955.33"",""0.51"",""183.95"",""0.10"","""","""",""25.15"""
"04.Mar.1991,""2,914.11"",""461.13"",""2,382.90"",""25,976.02"",""1,766.74"",""1,530.86"",""670.42"","""",""567.83"","""","""",""787.57"",""4,624.84"",""0.47"",""158.82"",""0.10"","""","""",""25.39"""
"05.Mar.1991,""2,972.52"",""473.05"",""2,420.10"",""25,913.48"",""1,800.63"",""1,540.26"",""669.83"","""",""577.55"","""","""",""787.10"",""4,527.51"",""0.45"",""170.96"",""0.10"","""","""",""25.48"""
"06.Mar.1991,""2,973.27"",""473.80"",""2,459.90"",""26,382.99"",""1,821.01"",""1,594.32"",""676.37"","""",""596.29"","""","""",""803.21"",""4,487.84"",""0.47"",""167.55"",""0.10"","""","""",""25.20"""
"07.Mar.1991,""2,963.37"",""475.74"",""2,437.70"",""26,397.96"",""1,831.85"",""1,580.46"",""674.87"","""",""599.81"","""","""",""817.23"",""4,622.40"",""0.47"",""159.80"",""0.10"","""","""",""25.41"""
"08.Mar.1991,""2,955.20"",""475.11"",""2,455.00"",""26,607.52"",""1,828.14"",""1,602.45"",""675.94"","""",""601.30"","""","""",""827.54"",""4,588.44"",""0.47"",""165.19"",""0.10"","""","""",""25.83"""
"11.Mar.1991,""2,939.36"",""467.15"",""2,459.20"",""26,669.37"",""1,796.70"",""1,565.78"",""681.38"","""",""605.85"","""","""",""848.55"",""4,838.40"",""0.46"",""178.22"",""0.10"","""","""",""26.49"""
"12.Mar.1991,""2,922.52"",""461.40"",""2,454.40"",""26,727.42"",""1,795.48"",""1,571.61"",""683.83"","""",""599.69"","""","""",""854.33"",""4,875.79"",""0.46"",""180.34"",""0.10"","""","""",""26.21"""
"13.Mar.1991,""2,955.20"",""468.18"",""2,448.20"",""26,418.32"",""1,781.17"",""1,542.19"",""679.21"","""",""592.99"","""","""",""861.05"",""4,734.94"",""0.47"",""182.26"",""0.10"","""","""",""26.07"""
"14.Mar.1991,""2,952.23"",""467.79"",""2,500.60"",""26,542.33"",""1,816.81"",""1,576.55"",""677.11"","""",""594.23"","""","""",""861.07"",""4,801.24"",""0.48"",""179.56"",""0.10"","""","""",""26.03"""
"15.Mar.1991,""2,948.27"",""466.29"",""2,494.20"",""26,843.10"",""1,800.49"",""1,570.55"",""682.97"","""",""599.85"","""","""",""871.85"",""4,909.22"",""0.47"",""188.45"",""0.10"","""","""",""25.97"""
"18.Mar.1991,""2,929.95"",""466.27"",""2,490.60"",""27,146.91"",""1,777.91"",""1,552.85"",""678.15"","""",""596.62"","""","""",""885.16"",""4,818.84"",""0.47"",""194.21"",""0.10"","""","""",""25.94"""
"19.Mar.1991,""2,867.82"",""462.81"",""2,458.90"",""27,006.66"",""1,740.97"",""1,546.53"",""672.16"","""",""594.54"","""","""",""883.59"",""4,837.60"",""0.47"",""205.39"",""0.10"","""","""",""25.96"""
"20.Mar.1991,""2,872.03"",""466.09"",""2,441.20"",""26,449.35"",""1,752.22"",""1,517.92"",""669.36"","""",""579.46"","""","""",""874.71"",""4,759.31"",""0.47"",""216.23"",""0.10"","""","""",""26.02"""
"21.Mar.1991,""2,855.45"",""464.60"",""2,474.80"","""",""1,771.32"",""1,519.59"",""663.37"","""",""581.10"","""","""",""878.70"",""4,735.17"",""0.46"",""276.52"",""0.10"","""","""",""25.94"""
"22.Mar.1991,""2,858.91"",""464.15"",""2,440.40"",""26,613.19"",""1,772.14"",""1,520.29"",""659.83"","""",""588.89"","""","""",""882.69"",""4,775.48"",""0.46"",""265.05"",""0.10"","""","""",""25.76"""
"25.Mar.1991,""2,865.84"",""468.49"",""2,432.00"",""26,645.79"",""1,773.55"",""1,515.50"",""664.05"","""",""590.77"","""","""",""876.08"",""4,820.76"",""0.47"",""259.45"",""0.10"","""","""",""25.81"""
"26.Mar.1991,""2,914.85"",""478.57"",""2,437.60"",""26,339.38"",""1,775.09"",""1,498.44"","""","""",""587.98"","""","""",""860.18"",""4,880.76"",""0.46"",""249.99"",""0.10"","""","""",""25.97"""
"27.Mar.1991,""2,917.57"",""482.37"",""2,464.60"",""26,104.65"",""1,797.06"",""1,508.80"",""655.18"","""",""582.60"","""","""",""854.17"",""4,951.91"",""0.46"",""270.48"",""0.10"","""","""",""26.38"""
"28.Mar.1991,""2,913.86"",""482.30"",""2,456.60"",""26,206.92"",""1,816.36"",""1,522.80"",""651.98"","""",""582.94"","""","""",""863.54"",""5,139.94"",""0.45"","""","""","""","""","""""
"29.Mar.1991,"""","""","""",""26,292.04"","""","""",""648.84"","""",""587.05"","""","""","""","""",""0.45"","""","""","""","""","""""
"01.Apr.1991,""2,881.19"",""480.86"","""",""26,007.40"","""","""",""650.05"","""","""","""","""","""",""5,297.92"",""0.43"",""288.19"",""0.10"","""","""",""26.28"""
"02.Apr.1991,""2,945.05"",""491.20"",""2,488.30"",""26,252.00"",""1,827.10"",""1,538.62"",""643.56"","""",""584.20"","""","""",""853.58"",""5,185.30"",""0.43"",""283.97"",""0.10"","""","""",""26.20"""
"03.Apr.1991,""2,926.73"",""495.05"",""2,519.10"",""26,780.06"",""1,851.89"",""1,577.50"",""649.43"","""",""586.86"","""","""",""856.38"",""5,344.84"",""0.44"",""273.32"",""0.10"","""","""",""26.31"""
"04.Apr.1991,""2,924.50"",""497.57"",""2,524.40"",""26,689.81"",""1,836.21"",""1,571.97"",""654.14"","""",""591.20"","""","""",""868.49"","""",""0.44"",""261.38"",""0.10"","""","""",""26.34"""
"05.Apr.1991,""2,896.78"",""495.79"",""2,545.40"",""26,767.33"",""1,851.71"",""1,586.87"","""","""",""591.10"","""","""",""874.64"","""",""0.43"",""261.64"",""0.10"","""","""",""26.34"""
"08.Apr.1991,""2,918.56"",""495.65"",""2,530.00"",""26,607.65"",""1,847.57"",""1,579.95"",""646.46"","""",""582.10"","""","""","""",""5,279.97"",""0.43"",""252.50"",""0.10"","""","""",""26.23"""
"09.Apr.1991,""2,873.02"",""492.46"",""2,527.20"",""26,317.39"",""1,845.96"",""1,582.11"",""646.04"","""",""572.40"","""","""",""885.75"",""5,349.76"",""0.43"",""255.58"",""0.10"","""","""",""26.22"""
"10.Apr.1991,""2,874.50"",""490.76"",""2,518.80"",""26,268.86"",""1,816.92"",""1,561.89"",""645.75"","""",""572.30"","""","""",""882.75"",""5,363.68"",""0.43"",""246.67"",""0.10"","""","""",""26.30"""
"11.Apr.1991,""2,905.45"",""499.31"",""2,531.40"",""26,425.19"",""1,825.60"",""1,565.37"",""641.46"","""",""575.79"","""","""",""892.78"",""5,454.61"",""0.44"",""235.04"",""0.10"","""","""",""26.29"""
"12.Apr.1991,""2,920.79"",""501.62"",""2,526.10"",""26,582.50"",""1,821.43"",""1,583.14"",""639.44"","""",""577.30"","""","""","""",""5,586.46"",""0.44"",""252.16"",""0.10"","""","""",""26.37"""
"15.Apr.1991,""2,933.17"",""500.84"",""2,542.70"",""26,695.53"",""1,822.35"",""1,601.42"",""634.52"","""",""580.10"","""","""",""884.66"",""5,671.45"","""",""273.89"",""0.10"","""","""",""26.33"""
"16.Apr.1991,""2,986.88"",""506.75"",""2,519.50"",""26,813.30"",""1,802.91"",""1,603.36"",""635.41"","""","""",""1,000.00"","""",""886.03"",""5,313.31"","""",""263.70"",""0.10"","""","""",""26.37"""
"17.Apr.1991,""3,004.46"",""511.31"",""2,545.00"",""26,980.37"",""1,829.45"",""1,623.83"",""632.55"","""","""","""","""",""890.46"",""5,451.06"","""",""272.77"",""0.10"","""","""",""26.43"""
"18.Apr.1991,""2,999.26"",""506.62"",""2,538.40"",""26,798.90"",""1,815.74"",""1,613.76"",""625.89"","""",""595.56"","""","""",""904.69"",""5,690.11"","""",""269.32"",""0.10"","""","""",""26.75"""
"19.Apr.1991,""2,965.59"",""501.19"",""2,519.80"",""26,541.97"",""1,791.12"",""1,599.37"",""628.33"","""",""595.50"","""","""",""908.13"",""5,739.26"","""",""278.62"",""0.10"","""","""",""26.82"""
"22.Apr.1991,""2,927.72"",""494.38"",""2,490.90"",""26,237.01"",""1,767.20"",""1,571.91"",""615.61"","""",""592.16"","""","""",""908.90"",""5,824.00"","""",""267.70"",""0.10"","""","""",""27.20"""
"23.Apr.1991,""2,930.45"",""496.08"",""2,503.80"",""26,491.57"",""1,781.83"",""1,597.05"",""637.84"","""",""588.40"",""967.70"","""",""893.19"",""5,732.09"","""",""280.01"",""0.10"","""","""",""27.90"""
"24.Apr.1991,""2,949.50"",""498.45"",""2,488.50"",""26,330.21"",""1,782.03"",""1,603.73"",""632.63"","""",""590.80"","""","""",""895.34"",""5,806.74"",""0.42"",""289.95"",""0.10"","""","""",""28.42"""
"25.Apr.1991,""2,921.04"",""496.03"",""2,482.10"",""26,038.86"",""1,777.01"",""1,620.45"",""626.36"","""",""591.50"","""","""",""883.60"",""5,913.83"",""0.41"",""287.74"",""0.10"","""","""",""28.77"""
"26.Apr.1991,""2,912.38"",""494.64"",""2,471.00"",""26,123.68"",""1,774.67"",""1,623.81"",""634.29"","""",""594.40"","""","""",""871.13"",""5,941.15"",""0.40"",""280.49"",""0.10"","""","""",""28.78"""
"29.Apr.1991,""2,876.98"",""487.74"",""2,498.30"","""",""1,797.35"",""1,620.28"",""644.60"","""",""592.10"","""","""",""867.97"",""5,728.00"",""0.38"",""269.65"",""0.10"","""","""",""29.05"""
"30.Apr.1991,""2,887.87"",""484.72"",""2,486.30"",""26,111.25"",""1,779.18"",""1,605.79"",""645.61"","""",""588.70"",""945.60"","""",""876.01"",""5,921.29"",""0.36"",""282.53"",""0.10"","""","""",""29.18"""
"01.May.1991,""2,930.20"",""487.85"",""2,508.50"",""26,489.00"","""","""",""644.39"","""","""","""","""","""",""5,851.64"",""0.38"","""","""","""","""","""""
"02.May.1991,""2,938.61"",""491.13"",""2,530.60"",""26,477.86"",""1,824.23"",""1,630.04"",""652.27"","""",""587.20"","""","""",""878.93"",""5,777.07"",""0.40"",""279.04"",""0.10"","""","""",""29.33"""
"03.May.1991,""2,938.86"",""492.10"",""2,522.70"","""",""1,832.31"",""1,631.84"",""649.10"","""",""588.09"","""","""",""868.00"",""5,852.95"",""0.39"",""273.12"",""0.10"","""","""",""29.29"""
"06.May.1991,""2,941.64"",""491.48"","""","""",""1,828.77"",""1,623.99"",""640.62"","""",""597.51"","""","""","""",""6,112.09"",""0.37"",""282.26"",""0.10"","""","""",""29.46"""
"07.May.1991,""2,917.49"",""491.51"",""2,540.50"",""26,342.14"",""1,830.18"",""1,627.46"",""635.17"","""",""582.48"","""","""",""840.06"",""6,172.57"",""0.37"",""284.27"",""0.10"","""","""",""30.20"""
"08.May.1991,""2,930.90"",""492.51"",""2,523.40"",""26,309.79"","""",""1,607.28"",""631.12"","""",""581.94"","""","""",""848.67"",""6,172.65"",""0.37"",""278.96"",""0.10"","""","""",""30.75"""
"09.May.1991,""2,971.15"",""497.81"",""2,541.90"",""26,438.50"","""","""",""634.72"","""",""584.96"","""","""",""853.99"",""6,305.22"",""0.36"",""273.37"",""0.10"","""","""",""31.85"""
"10.May.1991,""2,920.17"",""493.42"",""2,524.30"",""26,274.29"",""1,850.27"",""1,620.63"",""629.83"","""",""587.38"","""","""",""848.40"",""6,301.89"",""0.36"",""291.14"",""0.10"","""","""",""32.46"""
"13.May.1991,""2,924.42"",""493.93"",""2,486.60"",""26,093.20"",""1,834.45"",""1,610.90"",""630.84"","""",""584.99"","""","""",""828.16"",""6,102.09"",""0.36"",""304.20"",""0.10"","""","""",""32.90"""
"14.May.1991,""2,886.85"",""488.79"",""2,462.20"",""26,030.08"",""1,805.57"",""1,598.50"",""638.61"","""",""587.12"",""939.60"","""",""833.79"",""6,125.79"",""0.36"",""302.85"",""0.10"","""","""",""34.10"""
"15.May.1991,""2,865.38"",""478.08"",""2,459.20"",""25,822.47"",""1,802.63"",""1,590.35"",""632.17"","""","""","""","""",""824.49"",""5,728.72"",""0.35"","""",""0.10"","""","""",""36.45"""
"16.May.1991,""2,894.01"",""481.77"",""2,471.90"",""25,520.27"",""1,826.31"",""1,598.08"",""635.45"","""",""578.90"","""","""",""816.36"",""5,789.05"",""0.34"",""318.72"",""0.10"","""","""",""37.93"""
"17.May.1991,""2,886.63"",""481.38"",""2,454.00"",""25,701.94"",""1,826.96"",""1,598.87"",""636.55"","""",""583.36"","""","""",""820.93"",""6,018.04"",""0.35"",""322.83"",""0.10"","""","""",""37.59"""
"20.May.1991,""2,892.22"",""480.10"",""2,466.60"",""25,523.03"","""","""",""628.71"","""",""583.50"","""","""",""818.78"",""6,110.07"",""0.37"",""307.79"",""0.10"","""","""",""37.90"""
"21.May.1991,""2,906.08"",""483.60"",""2,482.70"",""25,481.21"",""1,833.09"",""1,617.40"","""","""",""584.20"",""966.10"","""",""804.83"",""6,142.21"",""0.39"",""315.62"",""0.10"","""","""",""38.87"""
"22.May.1991,""2,910.33"",""487.29"",""2,465.90"",""25,398.66"",""1,831.13"",""1,647.69"",""624.32"","""",""592.76"","""","""",""792.08"",""6,168.90"",""0.40"",""312.91"",""0.10"","""","""",""40.52"""
