"Periodo,""1.Dow Jones, EE.UU."",""2.Nasdaq, EE.UU."",""3.FTSE100, Reino Unido"",""4.Nikkei, Japón"",""5.CAC40, Francia"",""6.DAX, Alemania"",""7.KOSPI, Corea del Sur."",""8.CSI 300, China."",""9.FTSE Bursa Malaysia KLCI, Malasia."",""10.WIG, Polonia."",""11.MOEX Rusia, Rusia."",""12.Bangkok SET, Tailandia."",""13.TWSE, Taiwán, Provincia de China."",""14.BIST, Turquía."",""15.MERVAL, Argentina."",""16.IBOVESPA, Brasil."",""17.COLCAP, Colombia."",""18.S&P/BMV IPC , México."",""19.IGBVL, Perú."""
"06.Feb.1990,""2,606.31"",""423.99"",""2,321.10"",""37,666.83"",""1,916.33"",""1,937.72"",""886.86"","""",""610.95"","""","""",""798.12"",""12,289.36"",""0.41"",""26.10"",""0.00"","""","""",""0.32"""
"07.Feb.1990,""2,640.09"",""426.79"",""2,307.40"",""37,301.87"",""1,895.24"",""1,900.10"",""880.39"","""",""611.97"","""","""",""760.39"",""12,154.98"",""0.40"",""26.65"",""0.00"","""","""",""0.32"""
"08.Feb.1990,""2,644.37"",""427.32"",""2,331.00"",""37,516.24"",""1,905.51"",""1,915.79"",""882.52"","""",""611.00"","""","""",""805.39"",""12,054.51"",""0.41"",""26.07"",""0.00"","""","""",""0.32"""
"09.Feb.1990,""2,648.20"",""428.84"",""2,313.60"",""37,288.14"",""1,898.25"",""1,885.89"",""879.10"","""",""605.79"","""","""",""805.39"",""12,417.47"",""0.42"",""26.45"",""0.00"","""","""",""0.32"""
"12.Feb.1990,""2,619.14"",""426.38"",""2,285.90"","""",""1,867.40"",""1,860.39"",""867.05"","""",""609.06"","""","""",""801.95"",""12,424.53"",""0.41"",""29.69"",""0.00"","""","""",""0.32"""
"13.Feb.1990,""2,624.10"",""425.75"",""2,293.20"",""37,107.03"",""1,845.43"",""1,840.98"",""866.57"","""",""610.92"","""","""",""795.12"",""12,126.96"",""0.40"",""31.34"",""0.00"","""","""",""0.33"""
"14.Feb.1990,""2,624.32"",""426.56"",""2,298.30"",""37,155.89"",""1,853.99"",""1,832.23"",""872.63"","""",""606.89"","""","""",""794.73"",""12,231.91"",""0.40"",""33.48"",""0.00"","""","""",""0.33"""
"15.Feb.1990,""2,649.55"",""429.61"",""2,313.80"",""37,471.99"",""1,856.86"",""1,850.96"",""874.09"","""",""610.37"","""","""",""802.30"",""12,026.03"",""0.40"",""39.38"",""0.00"","""","""",""0.33"""
"16.Feb.1990,""2,635.59"",""429.01"",""2,325.90"",""37,460.32"",""1,871.12"",""1,893.66"",""872.50"","""",""614.37"","""","""",""824.90"",""11,659.50"",""0.39"",""46.60"",""0.00"","""","""",""0.34"""
"19.Feb.1990,"""","""",""2,297.10"",""37,222.60"",""1,838.03"",""1,869.19"",""859.24"","""",""620.13"","""","""",""838.98"",""11,792.65"",""0.38"",""55.06"",""0.00"","""","""",""0.34"""
